ID,Name,Maps,Adresse,Name,Straße,PLZ,Ort,Erstellt am
1080,2,Grundschulen,"Jahnstraße 2, 86356 Neusäß, Deutschland",2,Jahnstraße,86356,Neusäß,4. Juli 2023
1081,9a,Grundschulen,"Frieda-Forster-Straße 9A, 86399 Bobingen, Deutschland",9a,Frieda-Forster-Straße,86399,Bobingen,4. Juli 2023
1082,8,Grundschulen,"Pestalozzistraße 8, 86356 Neusäß, Deutschland",8,Pestalozzistraße,86356,Neusäß,4. Juli 2023
1084,,Grundschulen,"Volksschule Thierhaupten, Kreuzberg 1, 86672 Thierhaupten, Deutschland",,"Volksschule Thierhaupten, Kreuzberg 1, 86672 Thierhaupten, Deutschland",,,5. Juli 2023
1085,,Mittelschulen,"Volksschule Thierhaupten, Kreuzberg 1, 86672 Thierhaupten, Deutschland",,"Volksschule Thierhaupten, Kreuzberg 1, 86672 Thierhaupten, Deutschland",,,5. Juli 2023
1086,,Grundschulen,"Grundschule Baar, Schulstraße 12, 86674 Baar (Schwaben), Deutschland",,"Grundschule Baar, Schulstraße 12, 86674 Baar (Schwaben), Deutschland",,,5. Juli 2023
1087,9,Grundschulen,"Grundschule Untermeitingen, Schulstraße 9, 86836 Untermeitingen, Deutschland",9,Schulstraße,86836,Untermeitingen,5. Juli 2023
1088,2,Grundschulen,"Grundschule Ustersbach, Schulweg 2, 86514 Ustersbach, Deutschland",2,Schulweg,86514,Mödishofen,5. Juli 2023
1089,5,Grundschulen,"Schulgasse 5, 86877 Walkertshofen, Deutschland",5,Schulgasse,86877,Walkertshofen,5. Juli 2023
1090,5,Grundschulen,"Grundschule Wehringen, Pestalozzistraße 5, 86517 Wehringen, Deutschland",5,Pestalozzistraße,86517,Wehringen,5. Juli 2023
1091,12,Grundschulen,"Ganghoferstraße 12, 86465 Welden, Deutschland",12,Ganghoferstraße,86465,Welden,5. Juli 2023
1092,12,Mittelschulen,"Ganghoferstraße 12, 86465 Welden, Deutschland",12,Ganghoferstraße,86465,Welden,5. Juli 2023
1093,20,Grundschulen,"Schulstraße 20, 86707 Westendorf, Deutschland",20,Schulstraße,86707,Westendorf,5. Juli 2023
1094,4,Grundschulen,"Dr.-Rost-Straße 4, 86356 Neusäß, Deutschland",4,Dr.-Rost-Straße,86356,Neusäß,5. Juli 2023
1095,,Grundschulen,"Grundschule und Mittelschule Zusmarshausen, Stadionstraße 2, 86441 Zusmarshausen, Deutschland",,"Grundschule und Mittelschule Zusmarshausen, Stadionstraße 2, 86441 Zusmarshausen, Deutschland",,,5. Juli 2023
1096,,Mittelschulen,"Grundschule und Mittelschule Zusmarshausen, Stadionstraße 2, 86441 Zusmarshausen, Deutschland",,"Grundschule und Mittelschule Zusmarshausen, Stadionstraße 2, 86441 Zusmarshausen, Deutschland",,,5. Juli 2023
1097,15,Grundschulen,"Grund- und Mittelschule Augsburg-Bärenkeller, Bärenstraße 15, 86156 Augsburg, Deutschland",15,Bärenstraße,86156,Augsburg,5. Juli 2023
1098,15,Mittelschulen,"Grund- und Mittelschule Augsburg-Bärenkeller, Bärenstraße 15, 86156 Augsburg, Deutschland",15,Bärenstraße,86156,Augsburg,5. Juli 2023
1099,,Grundschulen,"Birkenau Grundschule Augsburg, Soldnerstraße 35, 86167 Augsburg, Deutschland",,"Birkenau Grundschule Augsburg, Soldnerstraße 35, 86167 Augsburg, Deutschland",,,5. Juli 2023
1100,41,Grundschulen,"Bleriotstraße 41, 86159 Augsburg, Deutschland",41,Blériotstraße,86159,Augsburg,5. Juli 2023
1101,,Grundschulen,"Volksschule Augsburg-Centerville-Süd, Columbusstraße 12, 86156 Augsburg, Deutschland",,"Volksschule Augsburg-Centerville-Süd, Columbusstraße 12, 86156 Augsburg, Deutschland",,,5. Juli 2023
1102,,Mittelschulen,"Volksschule Augsburg-Centerville-Süd, Columbusstraße 12, 86156 Augsburg, Deutschland",,"Volksschule Augsburg-Centerville-Süd, Columbusstraße 12, 86156 Augsburg, Deutschland",,,5. Juli 2023
1103,21,Grundschulen,"Ahornerstraße 21, 86154 Augsburg, Deutschland",21,Ahornerstraße,86154,Augsburg,5. Juli 2023
1104,1,Grundschulen,"Georg-Käß-Platz 1, 86179 Augsburg, Deutschland",1,Georg-Käß-Platz,86179,Augsburg,5. Juli 2023
1105,,Grundschulen,"Elias Holl Grundschule Augsburg, Obere Jakobermauer 18, 86152 Augsburg, Deutschland",,"Elias Holl Grundschule Augsburg, Obere Jakobermauer 18, 86152 Augsburg, Deutschland",,,5. Juli 2023
1106,,Grundschulen,"Grundschule und Mittelschule Augsburg-Firnhaberau, Hubertusplatz 5, 86169 Augsburg, Deutschland",,"Grundschule und Mittelschule Augsburg-Firnhaberau, Hubertusplatz 5, 86169 Augsburg, Deutschland",,,5. Juli 2023
1107,,Mittelschulen,"Grundschule und Mittelschule Augsburg-Firnhaberau, Hubertusplatz 5, 86169 Augsburg, Deutschland",,"Grundschule und Mittelschule Augsburg-Firnhaberau, Hubertusplatz 5, 86169 Augsburg, Deutschland",,,5. Juli 2023
1109,14,Grundschulen,"Friedrich-Ebert-Grundschule, Friedrich-Ebert-Straße 14, Augsburg-Göggingen 86199 Augsburg, Deutschland",14,Friedrich-Ebert-Straße,86199,Augsburg,6. Juli 2023
1110,,Grundschulen,"Fröbel-Grundschule Augsburg-Haunstetten, Siebenbürgenstraße 19, 86179 Augsburg, Deutschland",,"Fröbel-Grundschule Augsburg-Haunstetten, Siebenbürgenstraße 19, 86179 Augsburg, Deutschland",,,6. Juli 2023
1111,5,Grundschulen,"Grundschule Göggingen-West, Von-Cobres-Straße 5, 86199 Augsburg, Deutschland",5,Von-Cobres-Straße,86199,Augsburg,6. Juli 2023
1112,8,Grundschulen,"Pappelweg 8, 86169 Augsburg, Deutschland",8,Pappelweg,86169,Augsburg,6. Juli 2023
1113,34,Grundschulen,"Hans-Adlhoch-Straße 34, 86157 Augsburg, Deutschland",34,Hans-Adlhoch-Straße,86157,Augsburg,6. Juli 2023
1114,34,Mittelschulen,"Hans-Adlhoch-Straße 34, 86157 Augsburg, Deutschland",34,Hans-Adlhoch-Straße,86157,Augsburg,6. Juli 2023
1115,,Grundschulen,"Grundschule Augsburg-Herrenbach, Herrenbachstraße 41, 86161 Augsburg, Deutschland",,"Grundschule Augsburg-Herrenbach, Herrenbachstraße 41, 86161 Augsburg, Deutschland",,,6. Juli 2023
1117,27,Grundschulen,"Höfatsstraße 27, 86163 Augsburg, Deutschland",27,Höfatsstraße,86163,Augsburg,7. Juli 2023
1118,8,Grundschulen,"Hohenstaufenstraße 8, 86199 Augsburg, Deutschland",8,Hohenstaufenstraße,86199,Augsburg,7. Juli 2023
1119,,Grundschulen,"Johann-Strauß-Grundschule Augsburg-Haunstetten, Johann-Strauß-Straße 1, 86179 Augsburg, Deutschland",,"Johann-Strauß-Grundschule Augsburg-Haunstetten, Johann-Strauß-Straße 1, 86179 Augsburg, Deutschland",,,7. Juli 2023
1120,1,Grundschulen,"Von-Richthofen-Straße 1, 86159 Augsburg, Deutschland",1,Von-Richthofen-Straße,86159,Augsburg,7. Juli 2023
1121,1,Mittelschulen,"Von-Richthofen-Straße 1, 86159 Augsburg, Deutschland",1,Von-Richthofen-Straße,86159,Augsburg,7. Juli 2023
1122,184a,Grundschulen,"Grundschule Augsburg-Kriegshaber, Ulmer Straße 184A, 86156 Augsburg, Deutschland",184a,Ulmer Straße,86156,Augsburg,8. Juli 2023
1123,,Grundschulen,"Löweneck-Grundschule/Mittelschule Augsburg-Oberhausen, Flurstraße 30, 86154 Augsburg, Deutschland",,"Löweneck-Grundschule/Mittelschule Augsburg-Oberhausen, Flurstraße 30, 86154 Augsburg, Deutschland",,,8. Juli 2023
1124,,Mittelschulen,"Löweneck-Grundschule/Mittelschule Augsburg-Oberhausen, Flurstraße 30, 86154 Augsburg, Deutschland",,"Löweneck-Grundschule/Mittelschule Augsburg-Oberhausen, Flurstraße 30, 86154 Augsburg, Deutschland",,,8. Juli 2023
1125,8,Grundschulen,"Brunnenstraße 8, 86165 Augsburg, Deutschland",8,Brunnenstraße,86165,Augsburg,8. Juli 2023
1126,36,Grundschulen,"Schillerschule Augsburg-Lechhausen, Schackstraße 36, 86165 Augsburg, Deutschland",36,Schackstraße,86165,Augsburg,8. Juli 2023
1127,36,Mittelschulen,"Schillerschule Augsburg-Lechhausen, Schackstraße 36, 86165 Augsburg, Deutschland",36,Schackstraße,86165,Augsburg,8. Juli 2023
1128,,Grundschulen,"St.-Anna-Grundschule Augsburg, Schaezlerstraße 26, 86152 Augsburg, Deutschland",,"St.-Anna-Grundschule Augsburg, Schaezlerstraße 26, 86152 Augsburg, Deutschland",,,8. Juli 2023
1129,25,Grundschulen,"Auf dem Kreuz 25, 86152 Augsburg, Deutschland",25,Auf dem Kreuz,86152,Augsburg,8. Juli 2023
1130,25,Mittelschulen,"Auf dem Kreuz 25, 86152 Augsburg, Deutschland",25,Auf dem Kreuz,86152,Augsburg,8. Juli 2023
1131,,Grundschulen,"Grundschule St. Max Augsburg, Gänsbühl 22, 86152 Augsburg, Deutschland",,"Grundschule St. Max Augsburg, Gänsbühl 22, 86152 Augsburg, Deutschland",,,8. Juli 2023
1132,14,Grundschulen,"Rote-Torwall-Straße 14, 86161 Augsburg, Deutschland",14,Rote-Torwall-Straße,86161,Augsburg,8. Juli 2023
1133,2,Grundschulen,"Hirblinger Straße 2, 86154 Augsburg, Deutschland",2,Hirblinger Straße,86154,Augsburg,8. Juli 2023
1134,,Grundschulen,"Volksschule Augsburg-Hochzoll- Nord, Neuschwansteinstraße 23, 86163 Augsburg, Deutschland",,"Volksschule Augsburg-Hochzoll- Nord, Neuschwansteinstraße 23, 86163 Augsburg, Deutschland",,,8. Juli 2023
1135,8,Grundschulen,"Grasiger Weg 8, 86157 Augsburg, Deutschland",8,Grasiger Weg,86157,Augsburg,8. Juli 2023
1136,5,Grundschulen,"Elisenstraße 5, 86159 Augsburg, Deutschland",5,Elisenstraße,86159,Augsburg,8. Juli 2023
1137,59,Grundschulen,"Sommestraße 59, 86156 Augsburg, Deutschland",59,Sommestraße,86156,Augsburg,9. Juli 2023
1138,2,Grundschulen,"Färberstraße 2, Augsburg, Deutschland",2,Färberstraße,86157,Augsburg,9. Juli 2023
1139,35,Grundschulen,"Brahmsstraße 35, Augsburg, Deutschland",35,Brahmsstraße,86179,Augsburg,9. Juli 2023
1140,35,Mittelschulen,"Brahmsstraße 35, Augsburg, Deutschland",35,Brahmsstraße,86179,Augsburg,9. Juli 2023
1141,11 1/2,Weitere Schulen,"Montessori Schule Augsburg, 86152 Augsburg, Deutschland",11 1/2,Untere Jakobermauer,86152,Augsburg,9. Juli 2023
1142,,Weitere Schulen,"Freie Waldorfschule Augsburg, Dr.-Schmelzing-Straße 52, 86169 Augsburg, Deutschland",,"Freie Waldorfschule Augsburg, Dr.-Schmelzing-Straße 52, 86169 Augsburg, Deutschland",,,10. Juli 2023
1143,1a,Weitere Schulen,"Wernher-von-Braun-Straße 1a, 86368 Gersthofen, Deutschland",1a,Wernher-von-Braun-Straße,86368,Gersthofen,10. Juli 2023
1144,9,Grundschulen,"Grundschule Adelzhausen, Schulstraße 9, 86559 Adelzhausen, Deutschland",9,Schulstraße,86559,Heretshausen,10. Juli 2023
1145,4,Grundschulen,"Mühlweg 4, 86444 Affing, Deutschland",4,Mühlweg,86444,Gebenhofen,10. Juli 2023
1146,1,Grundschulen,"Grundschule Aichach-Nord, Mozartstraße 1, 86551 Aichach, Deutschland",1,Mozartstraße,86551,Aichach,10. Juli 2023
1147,22,Grundschulen,"Ludwigstraße 22, 86551 Aichach, Deutschland",22,Ludwigstraße,86551,Aichach,10. Juli 2023
1148,21,Grundschulen,"Schulstraße 21, 86447 Aindling, Deutschland",21,Schulstraße,86447,Aindling,10. Juli 2023
